country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
US,2023,80-84,M,1128,1046,77
US,2023,65-69,M,792,746,45
US,2023,45-49,M,120,114,6
US,2023,60-64,F,492,462,29
US,2023,40-44,F,75,73,2
US,2023,70-74,M,974,908,65
US,2023,15-19,M,1,1,0
US,2023,60-64,M,546,523,22
US,2023,0-4,M,19,19,0
US,2023,35-39,M,57,53,4
US,2023,55-59,F,277,264,13
US,2023,20-24,F,10,10,0
US,2023,25-29,M,19,17,2
US,2023,30-34,M,43,41,2
US,2023,45-49,F,118,112,6
US,2023,30-34,F,31,30,1
US,2023,10-14,M,0,0,0
US,2023,40-44,M,64,59,5
US,2023,50-54,M,212,194,16
US,2023,20-24,M,7,6,1
US,2023,25-29,F,19,19,0
US,2023,35-39,F,44,42,2
US,2023,0-4,F,6,6,0
US,2023,15-19,F,1,1,0
US,2023,5-9,M,0,0,0
US,2023,5-9,F,2,2,0
US,2023,10-14,F,1,1,0
US,2024,70-74,M,1031,974,56
US,2024,85+,M,1690,1521,161
US,2024,70-74,F,874,821,52
US,2024,75-79,M,1247,1144,97
US,2024,50-54,M,248,231,16
US,2024,80-84,F,1059,957,96
US,2024,60-64,M,603,573,28
US,2024,65-69,M,752,713,39
US,2024,80-84,M,1134,1049,82
US,2024,85+,F,2426,2204,210
US,2024,25-29,M,29,26,2
US,2024,40-44,M,113,106,7
US,2024,65-69,F,674,636,36
US,2024,75-79,F,1001,937,62
US,2024,55-59,F,283,270,11
US,2024,40-44,F,91,88,3
US,2024,35-39,F,51,46,4
US,2024,60-64,F,504,477,24
US,2024,55-59,M,392,374,17
US,2024,50-54,F,175,164,9
US,2024,45-49,M,115,112,3
US,2024,35-39,M,57,55,2
US,2024,45-49,F,93,91,2
US,2024,20-24,M,7,7,0
US,2024,10-14,M,2,2,0
US,2024,5-9,F,0,0,0
US,2024,25-29,F,23,21,2
US,2024,15-19,M,10,10,0
US,2024,30-34,F,30,29,1
US,2024,30-34,M,50,48,2
US,2024,0-4,M,29,29,0
US,2024,0-4,F,13,13,0
US,2024,20-24,F,10,10,0
US,2024,15-19,F,2,2,0
US,2024,10-14,F,0,0,0
US,2024,5-9,M,2,2,0
BR,2012,60-64,F,415,383,31
BR,2012,70-74,M,495,456,37
BR,2012,85+,F,1085,964,115
BR,2012,85+,M,568,503,62
BR,2012,40-44,M,112,105,7
BR,2012,65-69,F,517,461,56
BR,2012,65-69,M,402,373,29
BR,2012,80-84,M,484,442,42
BR,2012,50-54,F,281,255,26
BR,2012,0-4,M,20,20,0
BR,2012,20-24,M,11,11,0
BR,2012,50-54,M,198,189,9
BR,2012,75-79,M,516,466,49
BR,2012,30-34,M,44,40,4
BR,2012,0-4,F,17,17,0
BR,2012,80-84,F,800,698,95
BR,2012,10-14,M,5,5,0
BR,2012,15-19,M,11,11,0
BR,2012,60-64,M,341,316,25
BR,2012,75-79,F,713,652,59
BR,2012,5-9,M,3,3,0
BR,2012,70-74,F,601,536,59
